g_id,src,dst,label
6678,_1,_2,i
6678,_1,_3,i
6678,_2,_4,i
6678,_3,_5,i
6678,_4,_6,i
6678,_5,_7,i
6678,_5,_8,i
6678,_6,_9,i
6678,_6,_10,i
34214,_1,_2,i
34214,_2,_3,i
34214,_3,_4,i
34214,_4,_5,i
34214,_1,_6,i
34214,_1,_7,i
34214,_7,_8,i
34214,_2,_9,i
34214,_6,_10,i
34214,_4,_11,i
34214,_5,_6,i
27931,_1,_2,a
27931,_2,_3,a
27931,_3,_4,a
27931,_1,_5,a
27931,_3,_6,a
27931,_6,_7,a
27931,_7,_8,a
27931,_8,_9,a
27931,_9,_10,a
27931,_6,_11,a
27931,_10,_12,a
27931,_9,_13,a
27931,_7,_14,a
27931,_5,_15,a
27931,_15,_16,a
27931,_16,_17,a
27931,_1,_18,a
27931,_18,_19,a
27931,_19,_20,a
27931,_20,_21,a
27931,_20,_22,a
27931,_20,_23,a
27931,_23,_24,a
27931,_24,_25,a
27931,_25,_26,a
27931,_25,_27,a
27931,_27,_28,a
27931,_27,_29,a
27931,_27,_30,a
27931,_22,_31,a
27931,_31,_32,a
27931,_32,_33,a
27931,_32,_34,a
27931,_34,_35,a
27931,_34,_36,a
27931,_34,_37,a
27931,_4,_5,a
27931,_10,_11,a
244,_1,_2,i
244,_1,_3,i
244,_1,_4,i
244,_1,_5,i
244,_5,_6,i
244,_5,_7,i
244,_6,_8,i
244,_7,_9,i
244,_8,_10,i
244,_10,_11,i
244,_10,_12,i
244,_8,_9,i
9903,_1,_2,i
9903,_1,_3,i
9903,_1,_4,i
9903,_2,_5,i
9903,_2,_6,i
9903,_2,_7,i
9903,_3,_8,i
9903,_8,_9,i
21824,_1,_2,i
21824,_2,_3,i
21824,_3,_4,i
21824,_3,_5,i
21824,_5,_6,i
21824,_5,_7,i
2425,_1,_2,i
2425,_1,_3,i
2425,_1,_4,i
2425,_4,_5,i
2425,_4,_6,i
2425,_5,_7,i
2425,_6,_8,i
2425,_7,_9,i
2425,_7,_10,i
2425,_10,_11,i
2425,_8,_10,i
16,_1,_2,i
16,_1,_3,i
16,_1,_4,i
16,_1,_5,i
16,_2,_6,i
16,_5,_7,i
16,_5,_8,i
16,_6,_9,i
16,_7,_10,i
16,_8,_11,i
16,_10,_12,i
16,_11,_12,i
42356,_1,_2,a
42356,_1,_5,a
42356,_2,_3,a
42356,_3,_4,a
42356,_3,_6,a
42356,_4,_5,a
42356,_5,_15,a
42356,_6,_7,a
42356,_6,_10,a
42356,_7,_8,a
42356,_8,_9,a
42356,_8,_14,a
42356,_9,_12,a
42356,_9,_13,a
42356,_10,_11,a
42356,_10,_12,a
42356,_15,_16,a
42356,_16,_17,a
42356,_17,_18,a
42356,_17,_24,a
42356,_17,_25,a
42356,_19,_20,a
42356,_19,_24,a
42356,_20,_21,a
42356,_20,_33,a
42356,_22,_23,a
42356,_22,_25,a
42356,_23,_26,a
42356,_23,_27,a
42356,_27,_28,a
42356,_27,_32,a
42356,_28,_29,a
42356,_29,_30,a
42356,_30,_31,a
42356,_31,_32,a
42356,_33,_34,a
42356,_33,_38,a
42356,_34,_35,a
42356,_35,_36,a
42356,_36,_37,a
42356,_37,_38,a
166,_1,_2,i
166,_1,_3,i
166,_3,_4,i
166,_3,_5,i
166,_4,_6,i
166,_5,_7,i
166,_6,_8,i
166,_8,_9,i
166,_7,_8,i
16045,_1,_2,i
16045,_2,_3,i
16045,_2,_4,i
16045,_4,_5,i
16045,_4,_6,i
16045,_6,_7,i
16045,_6,_8,i
16045,_8,_9,i
16045,_8,_10,i
16045,_1,_11,i
16045,_1,_12,i
26581,_1,_2,i
26581,_2,_3,i
26581,_3,_4,i
26581,_4,_5,i
26581,_1,_6,i
26581,_6,_7,i
26581,_5,_8,i
26581,_8,_9,i
26581,_3,_10,i
26581,_10,_11,i
26581,_2,_12,i
26581,_5,_6,i
1132,_1,_2,i
1132,_1,_3,i
1132,_1,_4,i
1132,_2,_5,i
20698,_1,_2,i
20698,_2,_3,i
20698,_3,_4,i
20698,_4,_5,i
20698,_5,_6,i
20698,_4,_7,i
20698,_6,_8,i
20698,_6,_9,i
34759,_1,_3,i
34759,_1,_4,i
34759,_1,_5,i
34759,_5,_6,i
34759,_6,_7,i
34759,_7,_8,i
34759,_5,_9,i
34759,_8,_9,i
2340,_1,_2,a
2340,_2,_3,a
2340,_2,_4,a
2340,_3,_5,a
2340,_3,_6,a
2340,_4,_7,a
2340,_4,_8,a
2340,_5,_9,a
2340,_5,_10,a
2340,_6,_11,a
2340,_6,_12,a
2340,_7,_13,a
2340,_7,_14,a
2340,_7,_15,a
2340,_9,_16,a
2340,_10,_17,a
2340,_12,_18,a
