g_id,src,dst,label
molecule_3235,1,2,mutagen
molecule_3235,1,3,mutagen
molecule_3235,1,4,mutagen
molecule_3235,2,5,mutagen
molecule_3235,2,6,mutagen
molecule_3235,3,7,mutagen
molecule_3235,3,8,mutagen
molecule_3235,4,9,mutagen
molecule_3235,4,10,mutagen
molecule_3235,5,11,mutagen
molecule_3235,5,12,mutagen
molecule_3235,6,13,mutagen
molecule_3235,7,14,mutagen
molecule_3235,9,15,mutagen
molecule_3235,12,16,mutagen
molecule_3235,14,17,mutagen
molecule_3235,15,18,mutagen
molecule_3235,17,19,mutagen
molecule_3235,8,11,mutagen
molecule_3235,9,14,mutagen
molecule_3235,13,16,mutagen
molecule_3235,18,19,mutagen
molecule_3235,6,20,mutagen
molecule_3235,7,21,mutagen
molecule_3235,8,22,mutagen
molecule_3235,10,23,mutagen
molecule_3235,10,24,mutagen
molecule_3235,10,25,mutagen
molecule_3235,11,26,mutagen
molecule_3235,12,27,mutagen
molecule_3235,13,28,mutagen
molecule_3235,15,29,mutagen
molecule_3235,16,30,mutagen
molecule_3235,17,31,mutagen
molecule_3235,18,32,mutagen
molecule_3235,19,33,mutagen
molecule_2793,1,2,mutagen
molecule_2793,1,3,mutagen
molecule_2793,1,4,mutagen
molecule_2793,2,5,mutagen
molecule_2793,2,6,mutagen
molecule_2793,3,7,mutagen
molecule_2793,3,8,mutagen
molecule_2793,4,9,mutagen
molecule_2793,4,10,mutagen
molecule_2793,5,11,mutagen
molecule_2793,5,12,mutagen
molecule_2793,6,13,mutagen
molecule_2793,6,14,mutagen
molecule_2793,7,15,mutagen
molecule_2793,7,16,mutagen
molecule_2793,11,17,mutagen
molecule_2793,11,18,mutagen
molecule_2793,15,19,mutagen
molecule_2793,16,20,mutagen
molecule_2793,18,21,mutagen
molecule_2793,19,22,mutagen
molecule_2793,21,23,mutagen
molecule_2793,21,24,mutagen
molecule_2793,21,25,mutagen
molecule_2793,8,12,mutagen
molecule_2793,9,15,mutagen
molecule_2793,10,13,mutagen
molecule_2793,14,17,mutagen
molecule_2793,20,22,mutagen
molecule_2793,8,26,mutagen
molecule_2793,9,27,mutagen
molecule_2793,10,28,mutagen
molecule_2793,12,29,mutagen
molecule_2793,13,30,mutagen
molecule_2793,14,31,mutagen
molecule_2793,16,32,mutagen
molecule_2793,17,33,mutagen
molecule_2793,19,34,mutagen
molecule_2793,20,35,mutagen
molecule_2793,22,36,mutagen
molecule_2793,23,37,mutagen
molecule_4076,1,2,nonmutagen
molecule_4076,1,3,nonmutagen
molecule_4076,1,4,nonmutagen
molecule_4076,1,5,nonmutagen
molecule_4076,2,6,nonmutagen
molecule_4076,2,7,nonmutagen
molecule_4076,3,8,nonmutagen
molecule_4076,3,9,nonmutagen
molecule_4076,10,4,nonmutagen
molecule_4076,5,11,nonmutagen
molecule_4076,5,12,nonmutagen
molecule_4076,6,13,nonmutagen
molecule_4076,6,14,nonmutagen
molecule_4076,7,15,nonmutagen
molecule_4076,7,16,nonmutagen
molecule_4076,8,17,nonmutagen
molecule_4076,8,18,nonmutagen
molecule_4076,8,19,nonmutagen
molecule_4076,9,20,nonmutagen
molecule_4076,10,21,nonmutagen
molecule_4076,10,22,nonmutagen
molecule_4076,11,23,nonmutagen
molecule_4076,13,24,nonmutagen
molecule_4076,15,25,nonmutagen
molecule_4076,17,26,nonmutagen
molecule_4076,18,27,nonmutagen
molecule_4076,20,28,nonmutagen
molecule_4076,22,29,nonmutagen
molecule_4076,22,30,nonmutagen
molecule_4076,23,31,nonmutagen
molecule_4076,24,32,nonmutagen
molecule_4076,24,33,nonmutagen
molecule_4076,25,34,nonmutagen
molecule_4076,29,35,nonmutagen
molecule_4076,30,36,nonmutagen
molecule_4076,31,37,nonmutagen
molecule_4076,31,38,nonmutagen
molecule_4076,35,39,nonmutagen
molecule_4076,37,40,nonmutagen
molecule_4076,40,41,nonmutagen
molecule_4076,41,42,nonmutagen
